Team,Season,No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
Toronto Raptors,2015-16,54,Patrick Patterson,PF,6-8,235,"March 14, 1989",5,Kentucky
Toronto Raptors,2015-16,24,Norman Powell,SG,6-3,215,"May 25, 1993",R,UCLA
Toronto Raptors,2015-16,31,Terrence Ross,SF,6-6,206,"February 5, 1991",3,Washington
Toronto Raptors,2015-16,4,Luis Scola,PF,6-9,240,"April 30, 1980",8,
Toronto Raptors,2015-16,1,Jason Thompson,C,6-11,250,"July 21, 1986",7,Rider University
Toronto Raptors,2015-16,17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",3,
Toronto Raptors,2015-16,55,Delon Wright,PG,6-5,185,"April 26, 1992",R,Utah
Toronto Raptors,2016-17,20,Bruno Caboclo,SF,6-9,218,"September 21, 1995",2,
Toronto Raptors,2016-17,5,DeMarre Carroll,SF,6-6,215,"July 27, 1986",7,Vanderbilt
Toronto Raptors,2016-17,10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",7,USC
Toronto Raptors,2016-17,9,Serge Ibaka,PF,6-10,235,"September 18, 1989",7,
Toronto Raptors,2016-17,6,Cory Joseph,PG,6-3,200,"August 20, 1991",5,Texas
Toronto Raptors,2016-17,7,Kyle Lowry,PG,6-0,196,"March 25, 1986",10,Villanova
Toronto Raptors,2016-17,92,Lucas Nogueira,C,7-0,241,"July 26, 1992",2,
Toronto Raptors,2016-17,54,Patrick Patterson,PF,6-8,235,"March 14, 1989",6,Kentucky
Toronto Raptors,2016-17,42,Jakob Poeltl,C,7-1,245,"October 15, 1995",R,Utah
Toronto Raptors,2016-17,24,Norman Powell,SG,6-3,215,"May 25, 1993",1,UCLA
Toronto Raptors,2016-17,31,Terrence Ross,SF,6-6,206,"February 5, 1991",4,Washington
Toronto Raptors,2016-17,43,Pascal Siakam,PF,6-9,230,"April 2, 1994",R,New Mexico State
Toronto Raptors,2016-17,0,Jared Sullinger,PF,6-9,260,"March 4, 1992",4,Ohio State
Toronto Raptors,2016-17,2,P.J. Tucker,SF,6-5,245,"May 5, 1985",5,Texas
Toronto Raptors,2016-17,17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",4,
Toronto Raptors,2016-17,23,Fred VanVleet,PG,6-1,197,"February 25, 1994",R,Wichita State
Toronto Raptors,2016-17,55,Delon Wright,PG,6-5,185,"April 26, 1992",1,Utah
Toronto Raptors,2017-18,3,OG Anunoby,SF,6-7,232,"July 17, 1997",R,Indiana
Toronto Raptors,2017-18,4,Lorenzo Brown,PG,6-5,189,"August 26, 1990",3,NC State
Toronto Raptors,2017-18,5,Bruno Caboclo,SF,6-9,218,"September 21, 1995",3,
Toronto Raptors,2017-18,10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",8,USC
Toronto Raptors,2017-18,2,Nigel Hayes,SF,6-8,254,"December 16, 1994",R,Wisconsin
Toronto Raptors,2017-18,9,Serge Ibaka,PF,6-10,235,"September 18, 1989",8,
Toronto Raptors,2017-18,7,Kyle Lowry,PG,6-0,196,"March 25, 1986",11,Villanova
Toronto Raptors,2017-18,34,Alfonzo McKinnie,SF,6-7,215,"September 17, 1992",R,Green Bay
Toronto Raptors,2017-18,0,C.J. Miles,SF,6-6,220,"March 18, 1987",12,
Toronto Raptors,2017-18,13,Malcolm Miller,SF,6-7,210,"March 6, 1993",R,Holy Cross
Toronto Raptors,2017-18,92,Lucas Nogueira,C,7-0,241,"July 26, 1992",3,
Toronto Raptors,2017-18,42,Jakob Poeltl,C,7-1,245,"October 15, 1995",1,Utah
Toronto Raptors,2017-18,24,Norman Powell,SG,6-3,215,"May 25, 1993",2,UCLA
Toronto Raptors,2017-18,22,Malachi Richardson,SG,6-6,205,"January 5, 1996",1,Syracuse
Toronto Raptors,2017-18,43,Pascal Siakam,PF,6-9,230,"April 2, 1994",1,New Mexico State
Toronto Raptors,2017-18,17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",5,
Toronto Raptors,2017-18,23,Fred VanVleet,PG,6-1,197,"February 25, 1994",1,Wichita State
Toronto Raptors,2017-18,55,Delon Wright,PG,6-5,185,"April 26, 1992",2,Utah
Toronto Raptors,2018-19,3,OG Anunoby,SF,6-7,232,"July 17, 1997",1,Indiana
Toronto Raptors,2018-19,25,Chris Boucher,PF,6-9,200,"January 11, 1993",1,Oregon
Toronto Raptors,2018-19,4,Lorenzo Brown,PG,6-5,189,"August 26, 1990",4,NC State
Toronto Raptors,2018-19,33,Marc Gasol,C,6-11,255,"January 29, 1985",10,
Toronto Raptors,2018-19,14,Danny Green,SG,6-6,215,"June 22, 1987",9,UNC
Toronto Raptors,2018-19,9,Serge Ibaka,C,6-10,235,"September 18, 1989",9,
Toronto Raptors,2018-19,2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",7,San Diego State
Toronto Raptors,2018-19,17,Jeremy Lin,PG,6-3,200,"August 23, 1988",8,Harvard University
Toronto Raptors,2018-19,7,Kyle Lowry,PG,6-0,196,"March 25, 1986",12,Villanova
Toronto Raptors,2018-19,8,Jordan Loyd,PG,6-4,210,"July 27, 1993",R,Furman University
Toronto Raptors,2018-19,1,Patrick McCaw,SG,6-7,181,"October 25, 1995",2,UNLV
Toronto Raptors,2018-19,20,Jodie Meeks,SG,6-4,210,"August 21, 1987",9,Kentucky
Toronto Raptors,2018-19,0,C.J. Miles,SF,6-6,220,"March 18, 1987",13,
Toronto Raptors,2018-19,13,Malcolm Miller,SF,6-7,210,"March 6, 1993",1,Holy Cross
Toronto Raptors,2018-19,15,Greg Monroe,C,6-11,265,"June 4, 1990",8,Georgetown
Toronto Raptors,2018-19,15,Eric Moreland,PF,6-10,238,"December 24, 1991",3,Oregon State
Toronto Raptors,2018-19,24,Norman Powell,SG,6-3,215,"May 25, 1993",3,UCLA
Toronto Raptors,2018-19,22,Malachi Richardson,SG,6-6,205,"January 5, 1996",2,Syracuse
Toronto Raptors,2018-19,43,Pascal Siakam,PF,6-9,230,"April 2, 1994",2,New Mexico State
Toronto Raptors,2018-19,17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",6,
Toronto Raptors,2018-19,23,Fred VanVleet,PG,6-1,197,"February 25, 1994",2,Wichita State
Toronto Raptors,2018-19,55,Delon Wright,PG,6-5,185,"April 26, 1992",3,Utah
Toronto Raptors,2019-20,3,OG Anunoby,SF,6-7,232,"July 17, 1997",2,Indiana
Toronto Raptors,2019-20,25,Chris Boucher,C,6-9,200,"January 11, 1993",2,Oregon
Toronto Raptors,2019-20,12,Oshae Brissett,SF,6-7,210,"June 20, 1998",R,Syracuse
Toronto Raptors,2019-20,0,Terence Davis,SG,6-4,201,"May 16, 1997",R,Ole Miss
Toronto Raptors,2019-20,33,Marc Gasol,C,6-11,255,"January 29, 1985",11,
Toronto Raptors,2019-20,20,Dewan Hernandez,C,6-10,235,"December 9, 1996",R,Miami (FL)
Toronto Raptors,2019-20,4,Rondae Hollis-Jefferson,PF,6-6,217,"January 3, 1995",4,Arizona
Toronto Raptors,2019-20,9,Serge Ibaka,C,6-10,235,"September 18, 1989",10,
Toronto Raptors,2019-20,5,Stanley Johnson,PF,6-6,242,"May 29, 1996",4,Arizona
Toronto Raptors,2019-20,7,Kyle Lowry,PG,6-0,196,"March 25, 1986",13,Villanova
Toronto Raptors,2019-20,22,Patrick McCaw,SF,6-7,181,"October 25, 1995",3,UNLV
Toronto Raptors,2019-20,13,Malcolm Miller,SF,6-7,210,"March 6, 1993",2,Holy Cross
Toronto Raptors,2019-20,11,Shamorie Ponds,PG,6-0,180,"June 29, 1998",R,St. John's
Toronto Raptors,2019-20,24,Norman Powell,SG,6-3,215,"May 25, 1993",4,UCLA
Toronto Raptors,2019-20,43,Pascal Siakam,PF,6-9,230,"April 2, 1994",3,New Mexico State
Toronto Raptors,2019-20,21,Matt Thomas,SG,6-4,190,"August 4, 1994",R,Iowa State
Toronto Raptors,2019-20,23,Fred VanVleet,SG,6-1,197,"February 25, 1994",3,Wichita State
Toronto Raptors,2019-20,1,Paul Watson,SF,6-6,210,"December 30, 1994",R,Fresno State
Toronto Raptors,2020-21,3,OG Anunoby,SF,6-7,232,"July 17, 1997",3,Indiana
Toronto Raptors,2020-21,46,Aron Baynes,C,6-10,260,"December 9, 1986",8,Washington State
Toronto Raptors,2020-21,95,DeAndre' Bembry,SF,6-5,210,"July 4, 1994",4,Saint Joseph's
Toronto Raptors,2020-21,24,Khem Birch,C,6-9,233,"September 28, 1992",3,Pitt
Toronto Raptors,2020-21,25,Chris Boucher,C,6-9,200,"January 11, 1993",3,Oregon
Toronto Raptors,2020-21,0,Terence Davis,SG,6-4,201,"May 16, 1997",1,Ole Miss
Toronto Raptors,2020-21,44,Henry Ellenson,PF,6-10,240,"January 13, 1997",4,Marquette
Toronto Raptors,2020-21,8,Malachi Flynn,PG,6-1,175,"May 10, 1998",R,Washington State
Toronto Raptors,2020-21,55,Freddie Gillespie,PF,6-9,245,"June 14, 1997",R,Carleton College
Toronto Raptors,2020-21,2,Jalen Harris,SG,6-5,195,"August 14, 1998",R,Nevada
Toronto Raptors,2020-21,32,Rodney Hood,SF,6-8,208,"October 20, 1992",6,Mississippi State
Toronto Raptors,2020-21,5,Stanley Johnson,PF,6-6,242,"May 29, 1996",5,Arizona
Toronto Raptors,2020-21,27,Alex Len,C,7-0,250,"June 16, 1993",7,Maryland
Toronto Raptors,2020-21,7,Kyle Lowry,PG,6-0,196,"March 25, 1986",14,Villanova
Toronto Raptors,2020-21,22,Patrick McCaw,SF,6-7,181,"October 25, 1995",4,UNLV
Toronto Raptors,2020-21,24,Norman Powell,SG,6-3,215,"May 25, 1993",5,UCLA
Toronto Raptors,2020-21,43,Pascal Siakam,PF,6-9,230,"April 2, 1994",4,New Mexico State
Toronto Raptors,2020-21,21,Matt Thomas,SG,6-4,190,"August 4, 1994",1,Iowa State
Toronto Raptors,2020-21,33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",2,Duke
Toronto Raptors,2020-21,23,Fred VanVleet,SG,6-1,197,"February 25, 1994",4,Wichita State
Toronto Raptors,2020-21,18,Yuta Watanabe,SF,6-9,215,"October 13, 1994",2,George Washington
Toronto Raptors,2020-21,1,Paul Watson,SF,6-6,210,"December 30, 1994",1,Fresno State
Utah Jazz,2010-11,19,Raja Bell,SG,6-5,204,"September 19, 1976",10,Boston University
Utah Jazz,2010-11,50,Marcus Cousin,C,6-11,245,"December 18, 1986",R,Seton Hall
Utah Jazz,2010-11,16,Francisco Elson,C,7-0,235,"February 28, 1976",7,California
Utah Jazz,2010-11,40,Jeremy Evans,SF,6-9,200,"October 24, 1987",R,Western Kentucky
Utah Jazz,2010-11,15,Derrick Favors,PF,6-9,265,"July 15, 1991",R,Georgia Tech
Utah Jazz,2010-11,44,Kyrylo Fesenko,C,7-1,288,"December 24, 1986",3,
Utah Jazz,2010-11,5,Devin Harris,PG,6-3,185,"February 27, 1983",6,Wisconsin
Utah Jazz,2010-11,20,Gordon Hayward,SF,6-7,225,"March 23, 1990",R,Butler
Utah Jazz,2010-11,25,Al Jefferson,C,6-10,289,"January 4, 1985",6,
Utah Jazz,2010-11,47,Andrei Kirilenko,SF,6-9,220,"February 18, 1981",9,
Utah Jazz,2010-11,34,C.J. Miles,SF,6-6,220,"March 18, 1987",5,
Utah Jazz,2010-11,24,Paul Millsap,PF,6-7,257,"February 10, 1985",4,Louisiana Tech
Utah Jazz,2010-11,13,Mehmet Okur,C,6-11,249,"May 26, 1979",8,
Utah Jazz,2010-11,17,Ronnie Price,SG,6-2,190,"June 21, 1983",5,Nicholls State
Utah Jazz,2010-11,11,Earl Watson,PG,6-1,195,"June 12, 1979",9,UCLA
Utah Jazz,2010-11,3,Kyle Weaver,SG,6-6,201,"February 18, 1986",2,Washington State
Utah Jazz,2010-11,8,Deron Williams,PG,6-3,200,"June 26, 1984",5,Illinois
Utah Jazz,2011-12,2,Blake Ahearn,PG,6-2,190,"May 27, 1984",2,Missouri State
Utah Jazz,2011-12,19,Raja Bell,SG,6-5,204,"September 19, 1976",11,Boston University
Utah Jazz,2011-12,10,Alec Burks,SG,6-6,214,"July 20, 1991",R,Colorado
Utah Jazz,2011-12,3,DeMarre Carroll,SF,6-6,215,"July 27, 1986",2,Vanderbilt
Utah Jazz,2011-12,40,Jeremy Evans,SF,6-9,200,"October 24, 1987",1,Western Kentucky
Utah Jazz,2011-12,15,Derrick Favors,PF,6-9,265,"July 15, 1991",1,Georgia Tech
Utah Jazz,2011-12,0,Enes Freedom,C,6-10,250,"May 20, 1992",R,
Utah Jazz,2011-12,5,Devin Harris,PG,6-3,185,"February 27, 1983",7,Wisconsin
Utah Jazz,2011-12,20,Gordon Hayward,SF,6-7,225,"March 23, 1990",1,Butler
Utah Jazz,2011-12,8,Josh Howard,SF,6-7,210,"April 28, 1980",8,Wake Forest
Utah Jazz,2011-12,25,Al Jefferson,C,6-10,289,"January 4, 1985",7,
Utah Jazz,2011-12,34,C.J. Miles,SG,6-6,220,"March 18, 1987",6,
Utah Jazz,2011-12,24,Paul Millsap,PF,6-7,257,"February 10, 1985",5,Louisiana Tech
Utah Jazz,2011-12,6,Jamaal Tinsley,PG,6-3,195,"February 28, 1978",8,Iowa State
Utah Jazz,2011-12,11,Earl Watson,PG,6-1,195,"June 12, 1979",10,UCLA
Utah Jazz,2012-13,10,Alec Burks,SG,6-6,214,"July 20, 1991",1,Colorado
Utah Jazz,2012-13,3,DeMarre Carroll,SF,6-6,215,"July 27, 1986",3,Vanderbilt
Utah Jazz,2012-13,40,Jeremy Evans,PF,6-9,200,"October 24, 1987",2,Western Kentucky
Utah Jazz,2012-13,15,Derrick Favors,PF,6-9,265,"July 15, 1991",2,Georgia Tech
Utah Jazz,2012-13,8,Randy Foye,SG,6-4,213,"September 24, 1983",6,Villanova
Utah Jazz,2012-13,0,Enes Freedom,C,6-10,250,"May 20, 1992",1,
Utah Jazz,2012-13,20,Gordon Hayward,SF,6-7,225,"March 23, 1990",2,Butler
Utah Jazz,2012-13,25,Al Jefferson,C,6-10,289,"January 4, 1985",8,
Utah Jazz,2012-13,24,Paul Millsap,PF,6-7,257,"February 10, 1985",6,Louisiana Tech
Utah Jazz,2012-13,55,Kevin Murphy,SG,6-5,185,"March 6, 1990",R,Tennessee Technological University
Utah Jazz,2012-13,6,Jamaal Tinsley,PG,6-3,195,"February 28, 1978",9,Iowa State
Utah Jazz,2012-13,11,Earl Watson,PG,6-1,195,"June 12, 1979",11,UCLA
Utah Jazz,2012-13,2,Marvin Williams,SF,6-8,237,"June 19, 1986",7,UNC
Utah Jazz,2012-13,5,Mo Williams,PG,6-1,198,"December 19, 1982",9,Alabama
Utah Jazz,2013-14,11,Andris Biedriņš,C,6-11,240,"April 2, 1986",9,
Utah Jazz,2013-14,3,Trey Burke,PG,6-0,185,"November 12, 1992",R,Michigan
Utah Jazz,2013-14,10,Alec Burks,SG,6-6,214,"July 20, 1991",2,Colorado
Utah Jazz,2013-14,21,Ian Clark,SG,6-3,175,"March 7, 1991",R,Belmont
Utah Jazz,2013-14,40,Jeremy Evans,SF,6-9,200,"October 24, 1987",3,Western Kentucky
Utah Jazz,2013-14,15,Derrick Favors,PF,6-9,265,"July 15, 1991",3,Georgia Tech
Utah Jazz,2013-14,0,Enes Freedom,C,6-10,250,"May 20, 1992",2,
Utah Jazz,2013-14,8,Diante Garrett,PG,6-4,190,"November 3, 1988",1,Iowa State
Utah Jazz,2013-14,27,Rudy Gobert,C,7-1,258,"June 26, 1992",R,
Utah Jazz,2013-14,33,Mike Harris,PF,6-6,240,"June 15, 1983",3,Rice University
Utah Jazz,2013-14,20,Gordon Hayward,SF,6-7,225,"March 23, 1990",3,Butler
Utah Jazz,2013-14,24,Richard Jefferson,SF,6-7,233,"June 21, 1980",12,Arizona
Utah Jazz,2013-14,5,John Lucas III,PG,5-11,166,"November 21, 1982",5,Baylor
Utah Jazz,2013-14,25,Brandon Rush,SG,6-6,220,"July 7, 1985",5,Kansas
Utah Jazz,2013-14,22,Malcolm Thomas,PF,6-9,225,"November 8, 1988",2,Pepperdine
Utah Jazz,2013-14,6,Jamaal Tinsley,PG,6-3,195,"February 28, 1978",10,Iowa State
Utah Jazz,2013-14,2,Marvin Williams,PF,6-8,237,"June 19, 1986",8,UNC
Utah Jazz,2014-15,22,Jerrelle Benimon,PF,6-8,245,"August 1, 1991",R,Georgetown
Utah Jazz,2014-15,33,Trevor Booker,PF,6-8,228,"November 25, 1987",4,Clemson
Utah Jazz,2014-15,3,Trey Burke,PG,6-0,185,"November 12, 1992",1,Michigan
Utah Jazz,2014-15,10,Alec Burks,SG,6-6,214,"July 20, 1991",3,Colorado
Utah Jazz,2014-15,19,Patrick Christopher,SG,6-5,209,"June 3, 1988",R,California
Utah Jazz,2014-15,21,Ian Clark,SG,6-3,175,"March 7, 1991",1,Belmont
Utah Jazz,2014-15,45,Jack Cooley,C,6-9,260,"April 12, 1991",R,Notre Dame
Utah Jazz,2014-15,8,Bryce Cotton,PG,6-1,165,"August 11, 1992",R,Providence
Utah Jazz,2014-15,40,Jeremy Evans,SF,6-9,200,"October 24, 1987",4,Western Kentucky
Utah Jazz,2014-15,11,Dante Exum,PG,6-5,214,"July 13, 1995",R,
Utah Jazz,2014-15,15,Derrick Favors,PF,6-9,265,"July 15, 1991",4,Georgia Tech
Utah Jazz,2014-15,0,Enes Freedom,C,6-10,250,"May 20, 1992",3,
Utah Jazz,2014-15,27,Rudy Gobert,C,7-1,258,"June 26, 1992",1,
Utah Jazz,2014-15,20,Gordon Hayward,SF,6-7,225,"March 23, 1990",4,Butler
Utah Jazz,2014-15,5,Rodney Hood,SG,6-8,208,"October 20, 1992",R,Mississippi State
Utah Jazz,2014-15,2,Joe Ingles,SF,6-8,220,"October 2, 1987",R,
Utah Jazz,2014-15,17,Grant Jerrett,PF,6-10,235,"July 8, 1993",R,Arizona
Utah Jazz,2014-15,23,Chris Johnson,SF,6-6,206,"April 29, 1990",2,Dayton
Utah Jazz,2014-15,13,Elijah Millsap,SG,6-6,225,"August 12, 1987",R,Louisiana
Utah Jazz,2014-15,23,Toure' Murry,PG,6-5,195,"November 8, 1989",1,Wichita State
Utah Jazz,2014-15,16,Steve Novak,SF,6-10,225,"June 13, 1983",8,Marquette
Utah Jazz,2014-15,25,Elliot Williams,SG,6-5,190,"June 20, 1989",2,Duke
Utah Jazz,2015-16,33,Trevor Booker,PF,6-8,228,"November 25, 1987",5,Clemson
Utah Jazz,2015-16,3,Trey Burke,PG,6-0,185,"November 12, 1992",2,Michigan
Utah Jazz,2015-16,10,Alec Burks,SG,6-6,214,"July 20, 1991",4,Colorado
Utah Jazz,2015-16,15,Derrick Favors,PF,6-9,265,"July 15, 1991",5,Georgia Tech
Utah Jazz,2015-16,27,Rudy Gobert,C,7-1,258,"June 26, 1992",2,
Utah Jazz,2015-16,18,Erick Green,PG,6-4,185,"May 9, 1991",1,Virginia Tech
Utah Jazz,2015-16,20,Gordon Hayward,SF,6-7,225,"March 23, 1990",5,Butler
Utah Jazz,2015-16,5,Rodney Hood,SG,6-8,208,"October 20, 1992",1,Mississippi State
Utah Jazz,2015-16,2,Joe Ingles,SF,6-8,220,"October 2, 1987",1,
Utah Jazz,2015-16,23,Chris Johnson,SF,6-6,206,"April 29, 1990",3,Dayton
Utah Jazz,2015-16,41,Trey Lyles,PF,6-9,234,"November 5, 1995",R,Kentucky
Utah Jazz,2015-16,8,Shelvin Mack,PG,6-3,203,"April 22, 1990",4,Butler
Utah Jazz,2015-16,13,Elijah Millsap,SG,6-6,225,"August 12, 1987",1,Louisiana
Utah Jazz,2015-16,25,Raul Neto,PG,6-1,180,"May 19, 1992",R,
Utah Jazz,2015-16,22,J.J. O'Brien,SF,6-7,228,"April 8, 1992",R,San Diego State
Utah Jazz,2015-16,21,Tibor Pleiß,C,7-3,256,"November 2, 1989",R,
Utah Jazz,2015-16,24,Jeff Withey,C,7-0,231,"March 7, 1990",2,Kansas
Utah Jazz,2016-17,21,Joel Bolomboy,PF,6-9,235,"January 28, 1994",R,Weber State
Utah Jazz,2016-17,10,Alec Burks,SG,6-6,214,"July 20, 1991",5,Colorado
Utah Jazz,2016-17,33,Boris Diaw,PF,6-8,250,"April 16, 1982",13,
Utah Jazz,2016-17,11,Dante Exum,PG,6-5,214,"July 13, 1995",1,
Utah Jazz,2016-17,15,Derrick Favors,PF,6-9,265,"July 15, 1991",6,Georgia Tech
Utah Jazz,2016-17,27,Rudy Gobert,C,7-1,258,"June 26, 1992",3,
Utah Jazz,2016-17,20,Gordon Hayward,SF,6-7,225,"March 23, 1990",6,Butler
Utah Jazz,2016-17,3,George Hill,PG,6-4,188,"May 4, 1986",8,IUPUI
Utah Jazz,2016-17,5,Rodney Hood,SG,6-8,208,"October 20, 1992",2,Mississippi State
Utah Jazz,2016-17,2,Joe Ingles,SF,6-8,220,"October 2, 1987",2,
Utah Jazz,2016-17,6,Joe Johnson,SF,6-7,240,"June 29, 1981",15,Arkansas
Utah Jazz,2016-17,41,Trey Lyles,PF,6-9,234,"November 5, 1995",1,Kentucky
Utah Jazz,2016-17,8,Shelvin Mack,PG,6-3,203,"April 22, 1990",5,Butler
Utah Jazz,2016-17,25,Raul Neto,PG,6-1,180,"May 19, 1992",1,
Utah Jazz,2016-17,24,Jeff Withey,C,7-0,231,"March 7, 1990",3,Kansas
Utah Jazz,2017-18,13,Tony Bradley,C,6-10,248,"January 8, 1998",R,UNC
Utah Jazz,2017-18,10,Alec Burks,SG,6-6,214,"July 20, 1991",6,Colorado
Utah Jazz,2017-18,99,Jae Crowder,SF,6-6,235,"July 6, 1990",5,Marquette
Utah Jazz,2017-18,11,Dante Exum,PG,6-5,214,"July 13, 1995",2,
Utah Jazz,2017-18,15,Derrick Favors,C,6-9,265,"July 15, 1991",7,Georgia Tech
Utah Jazz,2017-18,27,Rudy Gobert,C,7-1,258,"June 26, 1992",4,
Utah Jazz,2017-18,5,Rodney Hood,SG,6-8,208,"October 20, 1992",3,Mississippi State
Utah Jazz,2017-18,2,Joe Ingles,SF,6-8,220,"October 2, 1987",3,
Utah Jazz,2017-18,8,Jonas Jerebko,PF,6-10,231,"March 2, 1987",7,
Utah Jazz,2017-18,6,Joe Johnson,SF,6-7,240,"June 29, 1981",16,Arkansas
Utah Jazz,2017-18,21,Erik McCree,SF,6-7,219,"December 20, 1993",R,Louisiana Tech
Utah Jazz,2017-18,45,Donovan Mitchell,SG,6-1,215,"September 7, 1996",R,Louisville
Utah Jazz,2017-18,30,Naz Mitrou-Long,SG,6-3,218,"August 3, 1993",R,Iowa State
Utah Jazz,2017-18,25,Raul Neto,PG,6-1,180,"May 19, 1992",2,
Utah Jazz,2017-18,31,Georges Niang,PF,6-7,230,"June 17, 1993",1,Iowa State
Utah Jazz,2017-18,23,Royce O'Neale,SF,6-4,226,"June 5, 1993",R,Denver
Utah Jazz,2017-18,3,Ricky Rubio,PG,6-2,190,"October 21, 1990",6,
Utah Jazz,2017-18,22,Thabo Sefolosha,SF,6-6,215,"May 2, 1984",11,
Utah Jazz,2017-18,5,David Stockton,PG,5-11,165,"June 24, 1991",1,Gonzaga
Utah Jazz,2017-18,33,Ekpe Udoh,C,6-10,245,"May 20, 1987",5,Michigan
Utah Jazz,2017-18,16,Nate Wolters,PG,6-4,190,"May 15, 1991",2,South Dakota State
Utah Jazz,2018-19,24,Grayson Allen,SG,6-4,198,"October 8, 1995",R,Duke
Utah Jazz,2018-19,13,Tony Bradley,C,6-10,248,"January 8, 1998",1,UNC
Utah Jazz,2018-19,10,Alec Burks,SG,6-6,214,"July 20, 1991",7,Colorado
Utah Jazz,2018-19,34,Tyler Cavanaugh,PF,6-9,238,"February 9, 1994",1,George Washington
Utah Jazz,2018-19,99,Jae Crowder,SF,6-6,235,"July 6, 1990",6,Marquette
Utah Jazz,2018-19,11,Dante Exum,PG,6-5,214,"July 13, 1995",3,
Utah Jazz,2018-19,15,Derrick Favors,C,6-9,265,"July 15, 1991",8,Georgia Tech
Utah Jazz,2018-19,27,Rudy Gobert,C,7-1,258,"June 26, 1992",5,
Utah Jazz,2018-19,2,Joe Ingles,PF,6-8,220,"October 2, 1987",4,
Utah Jazz,2018-19,26,Kyle Korver,SG,6-7,212,"March 17, 1981",15,Creighton
Utah Jazz,2018-19,45,Donovan Mitchell,SG,6-1,215,"September 7, 1996",1,Louisville
Utah Jazz,2018-19,30,Naz Mitrou-Long,SG,6-3,218,"August 3, 1993",1,Iowa State
Utah Jazz,2018-19,25,Raul Neto,PG,6-1,180,"May 19, 1992",3,
Utah Jazz,2018-19,31,Georges Niang,PF,6-7,230,"June 17, 1993",2,Iowa State
Utah Jazz,2018-19,23,Royce O'Neale,SF,6-4,226,"June 5, 1993",1,Denver
Utah Jazz,2018-19,3,Ricky Rubio,PG,6-2,190,"October 21, 1990",7,
Utah Jazz,2018-19,22,Thabo Sefolosha,SF,6-6,215,"May 2, 1984",12,
Utah Jazz,2018-19,33,Ekpe Udoh,C,6-10,245,"May 20, 1987",6,Michigan
Utah Jazz,2019-20,44,Bojan Bogdanović,SF,6-7,226,"April 18, 1989",5,
Utah Jazz,2019-20,13,Tony Bradley,C,6-10,248,"January 8, 1998",2,UNC
Utah Jazz,2019-20,5,Jarrell Brantley,PF,6-5,250,"June 7, 1996",R,College of Charleston
Utah Jazz,2019-20,00,Jordan Clarkson,SG,6-4,194,"June 7, 1992",5,Tulsa
Utah Jazz,2019-20,10,Mike Conley,PG,6-1,175,"October 11, 1987",12,Ohio State
Utah Jazz,2019-20,17,Ed Davis,C,6-9,218,"June 5, 1989",9,UNC
Utah Jazz,2019-20,11,Dante Exum,SG,6-5,214,"July 13, 1995",4,
Utah Jazz,2019-20,27,Rudy Gobert,C,7-1,258,"June 26, 1992",6,
Utah Jazz,2019-20,22,Jeff Green,PF,6-8,235,"August 28, 1986",11,Georgetown
Utah Jazz,2019-20,2,Joe Ingles,PF,6-8,220,"October 2, 1987",5,
Utah Jazz,2019-20,15,Stanton Kidd,SG,6-6,215,"March 18, 1992",R,South Plains College
Utah Jazz,2019-20,45,Donovan Mitchell,SG,6-1,215,"September 7, 1996",2,Louisville
Utah Jazz,2019-20,16,Juwan Morgan,PF,6-7,232,"April 17, 1997",R,Indiana
Utah Jazz,2019-20,"8, 15",Emmanuel Mudiay,PG,6-3,200,"March 5, 1996",4,
Utah Jazz,2019-20,31,Georges Niang,PF,6-7,230,"June 17, 1993",3,Iowa State
Utah Jazz,2019-20,23,Royce O'Neale,SF,6-4,226,"June 5, 1993",2,Denver
Utah Jazz,2019-20,"24, 81",Miye Oni,SF,6-5,206,"August 4, 1997",R,Yale
Utah Jazz,2019-20,6,Rayjon Tucker,SG,6-3,209,"September 24, 1997",R,Florida Gulf Coast
Utah Jazz,2019-20,0,Nigel Williams-Goss,PG,6-2,190,"September 16, 1994",R,Gonzaga
Utah Jazz,2019-20,3,Justin Wright-Foreman,PG,6-0,190,"October 27, 1997",R,Hofstra
Utah Jazz,2020-21,20,Udoka Azubuike,C,6-10,280,"September 17, 1999",R,Kansas
Utah Jazz,2020-21,44,Bojan Bogdanović,SF,6-7,226,"April 18, 1989",6,
Utah Jazz,2020-21,5,Jarrell Brantley,PF,6-5,250,"June 7, 1996",1,College of Charleston
Utah Jazz,2020-21,00,Jordan Clarkson,SG,6-4,194,"June 7, 1992",6,Tulsa
Utah Jazz,2020-21,10,Mike Conley,PG,6-1,175,"October 11, 1987",13,Ohio State
Utah Jazz,2020-21,15,Derrick Favors,C,6-9,265,"July 15, 1991",10,Georgia Tech
Utah Jazz,2020-21,3,Trent Forrest,PG,6-4,210,"June 12, 1998",R,Florida State
Utah Jazz,2020-21,27,Rudy Gobert,C,7-1,258,"June 26, 1992",7,
